class,tweet
2,"['!', '!', '!', 'rt', '@mayasolovely', ':', 'woman', 'complain', 'cleaning', 'house', '.', '&', 'man', 'always', 'take', 'trash', '...']"
1,"['!', '!', '!', 'rt', '@mleew17', ':', 'boy', 'dats', 'cold', '...', 'tyga', 'dwn', 'bad', 'cuffin', 'dat', 'hoe', '1st', 'place', '!', '!']"
1,"['!', '!', '!', 'rt', '@urkindofbrand', 'dawg', '!', '!', '!', 'rt', '@8', '0sbaby4life', ':', 'ever', 'fuck', 'bitch', 'start', 'cry', '?', 'confused', 'shit']"
1,"['!', '!', '!', 'rt', '@c_g_anderson', ':', '@viva_based', 'look', 'like', 'tranny']"
1,"['!', '!', '!', 'rt', '@shenikaroberts', ':', 'shit', 'hear', 'might', 'true', 'might', 'faker', 'bitch', 'told', 'ya', '\ue011']"
1,"['!', '!', '!', '""', '@t_madison_x', ':', 'shit', 'blows', '..', 'claim', 'faithful', 'somebody', 'still', 'fucking', 'hoes', '!', '😂', '😂', '😂', '""']"
1,"['!', '!', '!', '""', '@__brighterdays', ':', 'sit', 'hate', 'another', 'bitch', '..', 'got', 'much', 'shit', 'going', '!', '""']"
1,"['!', '!', '!', '“', '@selfiequeenbri', ':', 'cause', ""i'm"", 'tired', 'big', 'bitches', 'coming', 'us', 'skinny', 'girls', '!', '!', '”']"
1,"['""', '&', 'might', 'get', 'ya', 'bitch', 'back', '&', 'thats', '""']"
1,"['""', '@rhythmixx_', ':', 'hobbies', 'include', ':', 'fighting', 'mariam', '""', 'bitch']"
1,"['""', 'keeks', 'bitch', 'curves', 'everyone', '""', 'lol', 'walked', 'conversation', 'like', '.', 'smh']"
1,"['""', 'murda', 'gang', 'bitch', 'gang', 'land', '""']"
1,"['""', 'hoes', 'smoke', 'losers', '?', '""', 'yea', '...', 'go', 'ig']"
1,"['""', 'bad', 'bitches', 'thing', 'like', '""']"
1,"['""', 'bitch', 'get', '""']"
1,"['""', 'bitch', 'nigga', 'miss', '""']"
1,"['""', 'bitch', 'plz', 'whatever', '""']"
1,"['""', 'bitch', 'love', '""']"
1,"['""', 'bitches', 'get', 'cut', 'everyday', 'b', '""']"
1,"['""', 'black', 'bottle', '&', 'bad', 'bitch', '""']"
1,"['""', 'broke', 'bitch', 'cant', 'tell', 'nothing', '""']"
1,"['""', 'cancel', 'bitch', 'like', 'nino', '""']"
1,"['""', 'cant', 'see', 'hoes', 'wont', 'change', '""']"
1,"['""', 'fuck', 'bitch', 'dont', 'even', 'suck', 'dick', '""', '😂', '😂', '😂', 'kermit', 'videos', 'bout', 'fuck', 'ig']"
1,"['""', 'got', 'ya', 'bitch', 'tip', 'toeing', 'hardwood', 'floors', '""', '😂', 'http://t.co/cou2wq5l4q']"
1,"['""', 'pussy', 'lips', 'like', 'heaven', 'doors', '""', '😌']"
1,"['""', 'hoe', 'hitting', '""']"
1,"['""', 'met', 'pussy', 'ocean', 'dr', '.', 'gave', 'pussy', 'pill', '""', '😌']"
1,"['""', 'need', 'trippy', 'bitch', 'fuck', 'hennessy', '""']"
1,"['""', 'spend', 'money', 'want', 'bitch', 'business', '""']"
1,"['""', 'txt', 'old', 'bitch', 'new', 'bitch', 'pussy', 'wetter', '""']"
1,"['""', ""i'd"", 'say', 'im', 'back', 'old', 'old', 'bitches', 'would', 'get', 'excited', '""', '😌']"
1,"['""', 'aint', 'bout', 'murder', 'game', 'pussy', 'nigga', 'shut', '""']"
1,"['""', 'toes', ""ain't"", 'done', 'pussy', 'stinks', '""']"
1,"['""', 'im', 'done', 'bitter', 'bitches', 'wrap', '.', 'angry', 'bird', 'theres', 'app', '""']"
1,"['""', 'ya', 'bitch', '""']"
1,"['""', 'aint', 'nothing', 'cut', 'bitch', '""']"
1,"['""', 'jus', 'meet', 'son', 'ya', 'mane', 'ass', 'bitches', '""', '#shots']"
1,"['""', 'lames', 'crying', 'hoes', 'thats', 'tears', 'clown', '""']"
1,"['""', 'like', 'snoop', 'said', '94', 'dont', 'love', 'hoes', '""']"
2,"['""', 'momma', 'said', 'pussy', 'cats', 'inside', 'doghouse', '""']"
1,"['""', 'hated', 'hoes', 'favorite', '""', '#2mw', '#sevenone', '#', 'http://t.co/bmdsvmc3rc']"
1,"['""', 'nice', 'girls', 'bad', ',', 'make', 'get', 'naughty', '.', 'bad', 'yello', 'hoe', ',', 'real', 'nice', 'body', '.', 'south', 'chick', ',', 'like', 'em', 'real', 'thick', '""', 'http://t.co/bzrdl3kf7u']"
1,"['""', 'pimps', 'pimps', 'hoes', '""', 'future', 'voice']"
1,"['""', 'post', 'picture', 'pussy', 'get', '200', 'likes', '""']"
1,"['""', 'pussy', 'powerful', 'drug', '""', '😅', '#happyhumpday', 'http://t.co/r8jsymib5b']"
1,"['""', 'quick', 'piece', 'pussy', 'call', 'drive', '""']"
1,"['""', 'running', 'round', 'like', 'brand', 'new', 'pussy', 'thats', 'bout', 'get', 'fucked', '""']"
1,"['""', 'bitches', 'even', 'worst', ""they'll"", 'send', 'guys', '""']"
1,"['""', 'hoes', 'like', 'niggas', 'spend', 'money', 'talk', 'bout', '""']"
1,"['""', 'dont', 'trust', 'niggas', 'bitches', '""']"
1,"['""', 'yall', 'niggas', 'b', 'cuffing', 'hoes', 'cause', 'yall', 'aint', 'never', 'bitches', '""']"
1,"['""', 'dodge', 'bullet', '""', '😅', '“', '@darealkha', ':', '""', 'da', 'bitches', 'cut', 'pregnant', 'bound', '...', 'thank', 'god', '🙏', '""', '”']"
1,"['""', 'young', 'pill', 'chamberlain', 'bitches', 'love', 'music', '""']"
1,"['""', '😂', '😂', '😂', '@vandalsavage_', ':', 'teanna', 'trump', 'probably', 'cleaner', 'twitter', 'hoes', '...', '""']"
1,"['""', '😂', '😂', '😂', '@dahomiefuzz', ':', 'gay', 'niggas', 'wait', 'act', 'like', 'bitches', 'tonight', '""']"
1,"['""', '😂', '😂', '😂', '@the_paradox', ':', 'ima', 'steal', 'cat', 'n', 'replace', 'pitbull', '😂', '😂', '😂', 'rt', '@8', '0sbaby4life', ':', '@the_paradox', 'bitch', '""']"
1,"['""', '&', ""he's"", 'gone', 'always', 'hoe', '""']"
1,"['""', '...', 'son', 'bitch', 'took', 'tic', 'tacs', '.', '""', 'like', 'movie', '.']"
1,"['""', '..', 'wanna', 'get', 'money', 'fuck', 'model', 'bitches', '!', '""', '-', 'russell', 'simmons']"
1,"['""', '@2015seniorprobs', ':', 'probably', '’', 'mind', 'school', 'much', '’', 'deal', 'bitch', 'ass', 'teachers', '""', '.', 'retweet']"
1,"['""', '@a7xdemery', ':', ""i'm"", 'fucking', 'fag', 'said', '""']"
1,"['""', '@arizzleindacut', ':', 'females', 'think', 'dating', 'pussy', 'cute', '?', 'http://t.co/vxbjg26gsz', '""', 'stuff', 'make', 'pussy', '?']"
2,"['""', '@addicted2guys', ':', '-', 'simplyaddictedtoguys', 'http://t.co/1jl4hi8zmf', '""', 'woof', 'woof', 'hot', 'scally', 'lad']"
1,"['""', '@adorebellaaa', ':', 'ya', 'ever', 'asked', 'bitch', 'bitches', '-', 'kanye', 'voice', '""', 'yes']"
1,"['""', '@adorezoey', ':', 'u', 'gone', 'bring', 'ur', 'side', 'bitch', 'game', 'know', 'ya', 'gf', 'friends', '?', '!', '😩', '😩', '😩', '""', 'swear', '!', '!', '!']"
2,"['""', '@allaboutmanfeet', ':', 'http://t.co/3gzupfumev', '""', 'woof', 'woof', 'hot', 'soles']"
2,"['""', '@allyhaaaaa', ':', 'lemmie', 'eat', 'oreo', '&', 'dishes', '.', '""', 'one', 'oreo', '?', 'lol']"
1,"['""', '@almightywayne__', ':', '@jetsandaswisher', '@gook___', 'bitch', 'fuck', 'u', 'http://t.co/pxmga68nc1', '""', 'maybe', 'get', 'better', '.', 'http://t.co/tprevwfq0s']"
1,"['""', '@almightywayne__', ':', 'fuck', 'red', 'malone', 'man', 'bitch', 'ass', 'niggah', '""', 'could', 'please', 'use', 'complete', 'sentences', '?']"
2,"['""', '@arizonasfinest6', ':', 'eggplant', 'emoji', 'doe', '?', '""', 'say', 'looked', 'like', 'scream', 'lmao']"
